KIT DE CALIPER IMPORTADOS BBP;;;;;;;;;;;
Referencia ;Descripción;Cantidad ;Diametro;;;Costos ;PRECIO $ CARACAS ;PRECIO $ ORIENTE ;C ATEGORIA;EQUIVALENCIA;MARCA 
41127;Kit de Caliper, Ford F-450 Super Duty (97/01), Delantero/Trasero, C-3500 Trasero.;1 Rueda;60.mm;;;9,00;20,00;22,50;KIT DE CALIPER NACIONAL ;;FORD
41158;Kit de Caliper, Ford Explorer 95/05 Delantero;1 Rueda;46.mm;;;9,30;20,67;23,25;KIT DE CALIPER NACIONAL ;;FORD
41161;Kit de Caliper, Ford F-150 Fortaleza (97/99), Grand Marquis 97/99, Delantero.;1 Rueda;48.mm;;;9,30;20,67;23,25;KIT DE CALIPER NACIONAL ;;FORD
41172;Kit de Caliper, Ford F-350 Super Duty 2001;1 Rueda;55,5.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
41196;Kit de Caliper, Ford F-350 Super Duty (01/03)   ;1 Rueda;54.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
41410;Kit de Caliper, Ford F-350 (96…);1 Rueda;57.mm;;;9,00;20,00;22,50;KIT DE CALIPER NACIONAL ;;FORD
45002;Kit de Caliper, Ford F-150 Fortaleza 97/99 Delantero.;1 Rueda;51.mm;;;9,00;20,00;22,50;KIT DE CALIPER NACIONAL ;;FORD
45003;Kit de Caliper, Ford Tritón, F-150, 04/05;1 Rueda;54.mm;;;9,00;20,00;22,50;KIT DE CALIPER NACIONAL ;;FORD
66220;Kit de Caliper, Ford F-350 (89…);2 Ruedas;55.mm;;;6,50;14,44;16,25;KIT DE CALIPER NACIONAL ;;FORD
76090;Kit de Caliper, Ford F-100,F-150 (…88);2 Ruedas;73.03mm;;;3,70;8,22;9,25;KIT DE CALIPER NACIONAL ;;FORD
76390;Kit de Caliper, Ford LTD,Dodge 200/300;2 Ruedas;78.58mm;;;3,70;8,22;9,25;KIT DE CALIPER NACIONAL ;;FORD
83691;Kit de Caliper, Ford Maverick, Dodge Dart Viejo, Jeep CJ-7;2 Ruedas;65.88mm;;;3,70;8,22;9,25;KIT DE CALIPER NACIONAL ;;FORD
88562;Kit de Caliper, Ford F-350 (…88);2 Ruedas;54.77mm;;;6,50;14,44;16,25;KIT DE CALIPER NACIONAL ;;FORD
98948;Kit de Caliper, Ford Conquistador, LTD;2 Ruedas;73.03mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
99079;Kit de Caliper, Ford Zephyr, Cougar, Granada;2 Ruedas;60.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
114401;Kit de Caliper, Ford Bronco, F-150, F-100 (…89);2 Ruedas;73.03mm;;;9,30;20,67;23,25;KIT DE CALIPER NACIONAL ;;FORD
119435;Kit de Caliper, Ford Series: F-450 Sùper Duty 2000 Delantero.;1 Ruedas;60.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
553179;Kit de Caliper, Ford Corcel, Renault R-12, Fiat Uno,131;2 Ruedas;48.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
2B107BA;Kit de Caliper, Ford Sierra;2 Ruedas;60.mm;;;3,60;8,00;9,00;KIT DE CALIPER NACIONAL ;;FORD
66220FP;Kit de Caliper, Ford F-350 (89…);2 Ruedas;55.mm;;;5,00;11,11;12,50;KIT DE CALIPER NACIONAL ;;FORD
88562FP;Kit de Caliper, Ford F-350 (…88);1 Rueda;54.77mm;;;2,50;5,56;6,25;KIT DE CALIPER NACIONAL ;;FORD
TOYOTA;;;;;;;;;KIT DE CALIPER NACIONAL ;;TOYOTA
4478;Kit de Caliper, Dahiatsu Terios, Delantero.;2 Ruedas;54.mm;;;4,50;10,00;11,25;KIT DE CALIPER NACIONAL ;;TOYOTA
10764;Kit de Caliper, Toyota Corolla (95…) 6 Piezas, con abrazaderas;2 Ruedas;58.mm;;;6,30;14,00;15,75;KIT DE CALIPER NACIONAL ;;TOYOTA
15193;Kit de Caliper, Toyota Burbuja Autana 14 piezas;1 Rueda;46.mm;;;9,40;20,89;23,50;KIT DE CALIPER NACIONAL ;;TOYOTA
15217;Kit de Caliper, Toyota Rav 4 (96/99) Delantero con abrazaderas;2 Ruedas;54.mm;;;8,30;18,44;20,75;KIT DE CALIPER NACIONAL ;;TOYOTA
15218;Kit de Caliper, Toyota Yaris 02, Delantero, con abrazaderas;2 Ruedas;51.mm;;;8,30;18,44;20,75;KIT DE CALIPER NACIONAL ;;TOYOTA
16021;Kit de Caliper, Toyota Corolla (90/94) 6 Piezas, con abrazaderas;2 Ruedas;48.mm;;;8,30;18,44;20,75;KIT DE CALIPER NACIONAL ;;TOYOTA
30030;Kit de Caliper, Toyota Machito 20 piezas;2 Ruedas;42.8mm;;;8,20;18,22;20,50;KIT DE CALIPER NACIONAL ;;TOYOTA
130783;Kit de Caliper, Toyota Corolla, Camry, Célica ;2 Ruedas;54.mm;;;6,40;14,22;16,00;KIT DE CALIPER NACIONAL ;;TOYOTA
269551;Kit de Caliper, Toyota Corolla (86/89) 6 Piezas con abrazaderas;2 Ruedas;51.mm;;;8,10;18,00;20,25;KIT DE CALIPER NACIONAL ;;TOYOTA
269551FP;Kit de Caliper,Toyota Corolla (86/89) 4 Piezas Sin abrazaderas;2Ruedas;51.mm;;;5,00;11,11;12,50;KIT DE CALIPER NACIONAL ;;TOYOTA
30030CA;Kit de Caliper, Toyota Machito 28 Piezas;2 Ruedas;42.8mm;;;14,60;32,44;36,50;KIT DE CALIPER NACIONAL ;;TOYOTA
T-635;Kit de Caliper, Toyota Samurai 20 Piezas;2 Ruedas;34+42.8mm;;;8,20;18,22;20,50;KIT DE CALIPER NACIONAL ;;TOYOTA
T-635CA;Kit de Caliper, Toyota Samurai 28 Piezas con abrazaderas;2 Ruedas;34+42.8mm;;;13,90;30,89;34,75;KIT DE CALIPER NACIONAL ;;TOYOTA
GENERAL MOTORS;;;;;;;;;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
151;Kit de Caliper, Chevrolet Monza con abrazaderas;2 Ruedas;48.mm;;;5,30;11,78;13,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
1210;Kit de Caliper, Chevrolet Corsa;2 Ruedas;48.mm;;;9,30;20,67;23,25;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
26930;Kit de Caliper, Chevrolet NPR/Toyota Dyna Trasero, 1-5/16 (8 Piezas);1 Rueda;"1-5/16"".mm";;;9,10;20,22;22,75;KIT DE CALIPER NACIONAL ;;GENERAL MOTOR
